Species	sample	l2Fold_Diff	is.significant	db	workflow
Akkermansia muciniphila	Zymo_D6331_VS_I_V1_V9	3.81950410212235	TRUE	EmuDB	minitax
Bacteroides fragilis	Zymo_D6331_VS_I_V1_V9	4.18029938253606	TRUE	EmuDB	minitax
Bifidobacterium adolescentis	Zymo_D6331_VS_I_V1_V9	13.9199193002411	TRUE	EmuDB	minitax
Clostridioides difficile	Zymo_D6331_VS_I_V1_V9	1.52076701611209	FALSE	EmuDB	minitax
Clostridium perfringens	Zymo_D6331_VS_I_V1_V9	0	FALSE	EmuDB	minitax
Enterococcus faecalis	Zymo_D6331_VS_I_V1_V9	0.819943435241932	FALSE	EmuDB	minitax
Escherichia coli	Zymo_D6331_VS_I_V1_V9	-0.180142655806127	FALSE	EmuDB	minitax
Faecalibacterium prausnitzii	Zymo_D6331_VS_I_V1_V9	-1.23927290487157	FALSE	EmuDB	minitax
Fusobacterium nucleatum	Zymo_D6331_VS_I_V1_V9	1.48256354772198	FALSE	EmuDB	minitax
Limosilactobacillus fermentum	Zymo_D6331_VS_I_V1_V9	-3.20049294355241	TRUE	EmuDB	minitax
Methanobrevibacter smithii	Zymo_D6331_VS_I_V1_V9	6.86429666215159	TRUE	EmuDB	minitax
Prevotella corporis	Zymo_D6331_VS_I_V1_V9	3.39396152169928	TRUE	EmuDB	minitax
Roseburia hominis	Zymo_D6331_VS_I_V1_V9	-3.20406199749919	TRUE	EmuDB	minitax
Salmonella enterica	Zymo_D6331_VS_I_V1_V9	-1.56371392972864	FALSE	EmuDB	minitax
Veillonella rogosae	Zymo_D6331_VS_I_V1_V9	-2.07560838037949	TRUE	EmuDB	minitax
Akkermansia muciniphila	Zymo_D6331_VS_MN_V1_V9	2.63448534108391	TRUE	EmuDB	minitax
Bacteroides fragilis	Zymo_D6331_VS_MN_V1_V9	1.56583760079959	FALSE	EmuDB	minitax
Bifidobacterium adolescentis	Zymo_D6331_VS_MN_V1_V9	15.1944201836978	TRUE	EmuDB	minitax
Clostridioides difficile	Zymo_D6331_VS_MN_V1_V9	-1.37019039668692	FALSE	EmuDB	minitax
Clostridium perfringens	Zymo_D6331_VS_MN_V1_V9	0	FALSE	EmuDB	minitax
Enterococcus faecalis	Zymo_D6331_VS_MN_V1_V9	2.09439379167992	TRUE	EmuDB	minitax
Escherichia coli	Zymo_D6331_VS_MN_V1_V9	-1.74200860332006	FALSE	EmuDB	minitax
Faecalibacterium prausnitzii	Zymo_D6331_VS_MN_V1_V9	-0.670407983864905	FALSE	EmuDB	minitax
Fusobacterium nucleatum	Zymo_D6331_VS_MN_V1_V9	1.50791712319445	FALSE	EmuDB	minitax
Limosilactobacillus fermentum	Zymo_D6331_VS_MN_V1_V9	3.24423463102711	TRUE	EmuDB	minitax
Methanobrevibacter smithii	Zymo_D6331_VS_MN_V1_V9	8.13879469244257	TRUE	EmuDB	minitax
Prevotella corporis	Zymo_D6331_VS_MN_V1_V9	1.01733199965723	FALSE	EmuDB	minitax
Roseburia hominis	Zymo_D6331_VS_MN_V1_V9	1.08607292913161	FALSE	EmuDB	minitax
Salmonella enterica	Zymo_D6331_VS_MN_V1_V9	-3.53212516404132	TRUE	EmuDB	minitax
Veillonella rogosae	Zymo_D6331_VS_MN_V1_V9	-1.11714920150851	FALSE	EmuDB	minitax
Akkermansia muciniphila	Zymo_D6331_VS_Q_V1_V9	1.39633561269349	FALSE	EmuDB	minitax
Bacteroides fragilis	Zymo_D6331_VS_Q_V1_V9	2.15237756527963	TRUE	EmuDB	minitax
Bifidobacterium adolescentis	Zymo_D6331_VS_Q_V1_V9	15.2315656168176	TRUE	EmuDB	minitax
Clostridioides difficile	Zymo_D6331_VS_Q_V1_V9	-1.32724534789991	FALSE	EmuDB	minitax
Clostridium perfringens	Zymo_D6331_VS_Q_V1_V9	0	FALSE	EmuDB	minitax
Enterococcus faecalis	Zymo_D6331_VS_Q_V1_V9	2.13153881319982	TRUE	EmuDB	minitax
Escherichia coli	Zymo_D6331_VS_Q_V1_V9	-1.75813071769642	FALSE	EmuDB	minitax
Faecalibacterium prausnitzii	Zymo_D6331_VS_Q_V1_V9	-0.561046966983628	FALSE	EmuDB	minitax
Fusobacterium nucleatum	Zymo_D6331_VS_Q_V1_V9	1.47280211324539	FALSE	EmuDB	minitax
Limosilactobacillus fermentum	Zymo_D6331_VS_Q_V1_V9	4.39296926193374	TRUE	EmuDB	minitax
Methanobrevibacter smithii	Zymo_D6331_VS_Q_V1_V9	8.17594004206536	TRUE	EmuDB	minitax
Prevotella corporis	Zymo_D6331_VS_Q_V1_V9	1.39811789359088	FALSE	EmuDB	minitax
