sample	DNA_isolation_method	sample_name	sample_nr	GS_name	bamfile	project	db	Vregion	platform	workflow	mapq.filt	method	GS_version	rank	R2
V1.V9_ONT_minitax_EMUdb_RandAln_I1_D6331	I	I1	1	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I1_bc15_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.92941671130569
V1.V9_ONT_minitax_EMUdb_RandAln_I2_D6331	I	I2	2	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I2_bc16_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.928608971929156
V1.V9_ONT_minitax_EMUdb_RandAln_I3_D6331	I	I3	3	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I3_bc17_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.928531178783317
V1.V9_ONT_minitax_EMUdb_RandAln_MN1_D6331	MN	MN1	1	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN1_bc09_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.82843921349389
V1.V9_ONT_minitax_EMUdb_RandAln_MN2_D6331	MN	MN2	2	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN2_bc10_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.720074592015691
V1.V9_ONT_minitax_EMUdb_RandAln_MN3_D6331	MN	MN3	3	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN3_bc11_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.789135024619894
V1.V9_ONT_minitax_EMUdb_RandAln_Q1_D6331	Q	Q1	1	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q1_bc12_bc01_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.809951221526433
V1.V9_ONT_minitax_EMUdb_RandAln_Q2_D6331	Q	Q2	2	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q2_bc13_bc02_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.690384675620689
V1.V9_ONT_minitax_EMUdb_RandAln_Q3_D6331	Q	Q3	3	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q3_bc14_bc03_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.780449617426128
V1.V9_ONT_minitax_EMUdb_RandAln_Z1_D6331	Z	Z1	1	NA	GUTMCM_minion_v1_9_20240516_zymo_Z1_bc01_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.869895779099922
V1.V9_ONT_minitax_EMUdb_RandAln_Z2_D6331	Z	Z2	2	NA	GUTMCM_minion_v1_9_20240516_zymo_Z2_bc02_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.769444691814034
V1.V9_ONT_minitax_EMUdb_RandAln_Z3_D6331	Z	Z3	3	NA	GUTMCM_minion_v1_9_20240516_zymo_Z3_bc03_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.858245036515663
V1.V9_ONT_minitax_EMUdb_RandAln_I1_D6331	I	I1	1	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I1_bc15_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.578090885223997
V1.V9_ONT_minitax_EMUdb_RandAln_I2_D6331	I	I2	2	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I2_bc16_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.515628542150601
V1.V9_ONT_minitax_EMUdb_RandAln_I3_D6331	I	I3	3	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I3_bc17_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.666200924667318
V1.V9_ONT_minitax_EMUdb_RandAln_MN1_D6331	MN	MN1	1	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN1_bc09_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.567075479504746
V1.V9_ONT_minitax_EMUdb_RandAln_MN2_D6331	MN	MN2	2	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN2_bc10_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.465387952198748
