Row.names	sample	DNA_isolation_method	sample_name	sample_nr	GS_name	bamfile	project	db	Vregion	platform	workflow	mapq.filt	method	GS_version	Detection_threshold_ratio	Detection_threshold	statistic	value	Detection_threshold_percent	level
V1.V9_ONT_minitax_EMUdb_RandAln_I1_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_I1_D6331	I	I1	1	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I1_bc15_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	1e-04	136.5787	True_positives	10	0.01%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_I1_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_I1_D6331	I	I1	1	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I1_bc15_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	0.001	1365.787	True_positives	9	0.1%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_I1_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_I1_D6331	I	I1	1	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I1_bc15_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	0.01	13657.87	True_positives	5	1%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_I2_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_I2_D6331	I	I2	2	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I2_bc16_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	1e-04	135.6996	True_positives	10	0.01%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_I2_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_I2_D6331	I	I2	2	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I2_bc16_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	0.001	1356.996	True_positives	9	0.1%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_I2_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_I2_D6331	I	I2	2	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I2_bc16_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	0.01	13569.96	True_positives	5	1%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_I3_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_I3_D6331	I	I3	3	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I3_bc17_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	1e-04	141.5706	True_positives	9	0.01%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_I3_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_I3_D6331	I	I3	3	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I3_bc17_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	0.001	1415.706	True_positives	9	0.1%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_I3_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_I3_D6331	I	I3	3	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I3_bc17_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	0.01	14157.06	True_positives	5	1%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_MN1_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_MN1_D6331	MN	MN1	1	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN1_bc09_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	1e-04	151.5885	True_positives	11	0.01%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_MN1_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_MN1_D6331	MN	MN1	1	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN1_bc09_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	0.001	1515.885	True_positives	9	0.1%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_MN1_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_MN1_D6331	MN	MN1	1	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN1_bc09_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	0.01	15158.85	True_positives	8	1%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_MN2_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_MN2_D6331	MN	MN2	2	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN2_bc10_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	1e-04	152.5235	True_positives	11	0.01%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_MN2_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_MN2_D6331	MN	MN2	2	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN2_bc10_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	0.001	1525.235	True_positives	9	0.1%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_MN2_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_MN2_D6331	MN	MN2	2	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN2_bc10_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	0.01	15252.35	True_positives	7	1%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_MN3_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_MN3_D6331	MN	MN3	3	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN3_bc11_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	1e-04	122.1768	True_positives	11	0.01%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_MN3_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_MN3_D6331	MN	MN3	3	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN3_bc11_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	0.001	1221.768	True_positives	10	0.1%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_MN3_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_MN3_D6331	MN	MN3	3	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN3_bc11_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	0.01	12217.68	True_positives	8	1%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_Q1_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_Q1_D6331	Q	Q1	1	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q1_bc12_bc01_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	1e-04	0.2251	True_positives	11	0.01%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_Q1_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_Q1_D6331	Q	Q1	1	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q1_bc12_bc01_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	0.001	2.251	True_positives	11	0.1%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_Q1_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_Q1_D6331	Q	Q1	1	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q1_bc12_bc01_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	0.01	22.51	True_positives	8	1%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_Q2_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_Q2_D6331	Q	Q2	2	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q2_bc13_bc02_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	1e-04	0.2441	True_positives	11	0.01%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_Q2_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_Q2_D6331	Q	Q2	2	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q2_bc13_bc02_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	0.001	2.441	True_positives	9	0.1%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_Q2_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_Q2_D6331	Q	Q2	2	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q2_bc13_bc02_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	0.01	24.41	True_positives	7	1%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_Q3_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_Q3_D6331	Q	Q3	3	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q3_bc14_bc03_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	1e-04	0.2453	True_positives	11	0.01%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_Q3_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_Q3_D6331	Q	Q3	3	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q3_bc14_bc03_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	0.001	2.453	True_positives	10	0.1%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_Q3_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_Q3_D6331	Q	Q3	3	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q3_bc14_bc03_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	0.01	24.53	True_positives	8	1%	Species
V1.V9_ONT_minitax_EMUdb_RandAln_Z1_D6331	V1-V9_ONT_minitax_EMUdb_RandAln_Z1_D6331	Z	Z1	1	NA	GUTMCM_minion_v1_9_20240516_zymo_Z1_bc01_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	1e-04	46.6359	True_positives	11	0.01%	Species
