species	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I2_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q2_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z2_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I5_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN5_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q5_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z5_D6300	I_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	I_V1_V2_Illumina_minitax_EMUdb_RandAln_2_D6300	I_V1_V2_Illumina_minitax_EMUdb_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	MN_V1_V2_Illumina_minitax_EMUdb_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_EMUdb_RandAln_4_D6300	Q_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	Q_V1_V2_Illumina_minitax_EMUdb_RandAln_2_D6300	Q_V1_V2_Illumina_minitax_EMUdb_RandAln_4_D6300	Z_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	Z_V1_V2_Illumina_minitax_EMUdb_RandAln_2_D6300	Z_V1_V2_Illumina_minitax_EMUdb_RandAln_4_D6300
[Bacillus] selenitireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	4	1	1	1	6	0	0	1	5
[Enterobacter] lignolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	1	2	3	3	1	2	2
Abiotrophia defectiva	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	9	9	6	3	2	0	2	0	4	2	2
Acutalibacter muris	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	12	9	12	11	10	8	5	6	20	7	7
Aeromonas media	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	5	1	1	2	1	2
Alginatibacterium sediminis	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	141	115	74	487	370	310	373	306	228	249	176	325
Alicyclobacillus contaminans	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	5	2	8	3	5	4	4	1	9	3	4
Atlantibacter hermannii	0	0	0	0	0	0	0	2	1	1	1	2	0	1	1	0	0	0	0	1	0	0	0	2	2	3	7	9	4	12	1	4	1	3	3
Bacillus altitudinis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	21	24	21	37	31	31	31	5	21	14	28
Bacillus amyloliquefaciens	0	0	0	0	20	21	21	57	61	42	14	102	106	18	45	17	6	10	7	12	6	8	4	932	524	371	849	997	1056	663	1193	392	876	516	806
Bacillus atrophaeus	0	0	0	0	1	4	7	6	7	3	2	5	31	6	5	2	2	2	0	2	3	2	0	1292	1221	1053	1468	2032	2415	1610	2651	881	1949	1243	1999
Bacillus cereus	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	70	36	42	69	86	60	61	64	35	92	33	35
Bacillus coahuilensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	8	6	9	8	9	9	6	13	4	8
