DNA_isolation_method	platform	rank	R2_mean
I	Illumina	phylum	0.993738504663221
I	Illumina	order	0.988920405355486
I	Illumina	genus	0.90234386606248
I	Illumina	species	0.758661027733247
I	ONT	phylum	0.997980120402627
I	ONT	order	0.985138148831442
I	ONT	genus	0.89238114495721
I	ONT	species	0.827907250218578
MN	Illumina	phylum	0.337911207917419
MN	Illumina	order	0.460415403459275
MN	Illumina	genus	0.324161205963937
MN	Illumina	species	0.202627124909895
MN	ONT	phylum	0.242851731190617
MN	ONT	order	0.367959218878699
MN	ONT	genus	0.270738168815984
MN	ONT	species	0.228848874408061
Q	Illumina	phylum	0.160576826094403
Q	Illumina	order	0.318785570633769
Q	Illumina	genus	0.166232499070807
Q	Illumina	species	0.0792878514058335
Q	ONT	phylum	0.0713969342437467
Q	ONT	order	0.221365991282645
Q	ONT	genus	0.151839885091613
Q	ONT	species	0.116298586504458
Z	Illumina	phylum	0.571512683558255
Z	Illumina	order	0.603504336320256
Z	Illumina	genus	0.465339479501352
Z	Illumina	species	0.332366044484434
Z	ONT	phylum	0.411588696785422
Z	ONT	order	0.468591900248369
Z	ONT	genus	0.355486078983372
Z	ONT	species	0.301547285870816
