DNA_isolation_method	platform	rank	R2_mean
I	ONT	phylum	0.917454568948776
I	ONT	order	0.618346724971325
I	ONT	genus	0.391061239167302
I	ONT	species	0.34102566292839
MN	ONT	phylum	0.788484302902637
MN	ONT	order	0.559173409485756
MN	ONT	genus	0.442128517312638
MN	ONT	species	0.487447351087996
Q	ONT	phylum	0.772643775452206
Q	ONT	order	0.487840281649762
Q	ONT	genus	0.411268176695573
Q	ONT	species	0.44777421762397
Z	ONT	phylum	0.839356153040531
Z	ONT	order	0.535814173642382
Z	ONT	genus	0.423463779805232
Z	ONT	species	0.449395452389291
