dummy	phylum	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_4
TRUE		13	0	5	6	9	6	12	0	14	2	8	6	436	25	377	1	483	232	2	475	339	405	210	89	63	323	4	4	0	2	4	1	5	1	3	1	5	3	6	191	425	278	211	396	213	184	183	178	190	265	190	278	196	154	156	3	0	2	3	0	7	4	0	0	1	21	0	0	0	0	0	0	0	0	0	0	0	0	2
TRUE	Acidobacteriota	3	0	1	1	1	1	4	1	1	3	2	14	22	4	15	0	34	11	0	23	13	22	7	0	3	6	0	1	1	1	0	1	0	5	1	1	2	2	16	118	250	172	120	353	123	175	283	345	372	22	33	200	144	127	248	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Actinomycetota	2412	1516	2507	1899	4072	1608	3277	2644	2152	2213	3530	3586	19838	1272	10904	47	35967	15695	19	15901	4182	11986	3009	3376	2091	6601	121	985	616	659	562	2033	1271	1338	1426	853	1745	1695	1487	34607	70434	48863	29155	142649	50981	50914	58159	2069	1516	2403	4428	63657	67940	56121	35983	1400	464	11178	8918	16	3746	2692	4993	645	190	23732	412	1714	1132	1941	2880	1373	1381	2030	7502	5019	2394	2937	2065
TRUE	Ascomycota	2	4	3	3	1	7	6	8	7	3	3	2	14	1	49	2	14	8	0	116	47	34	3	41	21	21	1	10	2	6	5	9	5	3	6	7	8	4	18	989	2140	1286	1023	1464	1189	785	730	2224	1583	2429	4164	725	706	640	519	10	2	18	15	0	20	14	6	2	0	47	1	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Bacillota	25717	14401	21206	21787	28377	17163	30629	19598	13879	13332	19738	26235	209900	15775	163538	1389	311861	181934	230	285569	52353	43224	13860	21962	23145	75670	3296	33456	20284	17250	22285	31141	31545	26035	20455	13713	17218	14952	23904	1001705	1655594	1108779	891478	1565944	947337	777605	767775	124398	84014	148964	133851	934861	925469	828411	743050	470193	115357	764407	534280	4366	743670	412203	355473	36237	34382	840625	41460	21844	16844	13141	36757	6565	12217	17939	46273	18434	14081	8875	13009
TRUE	Bacteroidota	1717	1429	1733	1441	1316	1750	2597	1218	3145	1696	3517	3126	8035	516	10402	27	8937	11231	7	10159	49886	76154	55296	5715	1389	21060	76	8311	7090	6004	6077	8818	11073	8384	5828	11217	10412	11009	11418	119313	349556	151924	105006	94491	251149	107721	67292	646944	609014	806114	568766	603171	210620	260759	118545	1299	503	5207	3943	13	8851	4047	2563	3976	620	42198	739	193	408	219	587	67	457	530	1070	10153	2226	3086	2063
TRUE	Campylobacterota	17	30	21	20	12	39	13	9	63	29	46	195	79	5	89	1	73	114	0	50	251	244	266	34	18	138	1	69	105	39	46	19	126	33	16	214	90	169	572	3853	15849	4357	3152	2410	7428	1915	1009	16188	10731	10107	13706	13005	4518	7384	12523	99	114	220	200	0	994	223	72	560	114	9863	562	1	21	8	15	1	5	4	9	171	27	43	115
TRUE	Candidatus Melainabacteria	0	0	0	0	0	0	1	0	0	0	0	0	9	2	31	1	16	5	0	23	15	13	13	6	5	27	0	1	0	0	1	0	0	0	0	1	0	0	1	248	686	349	267	284	389	223	170	865	879	1048	817	796	320	377	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Chloroflexota	19	5	12	8	24	6	38	7	9	8	17	16	509	23	1116	5	1301	310	0	1240	209	246	341	89	66	567	3	2	0	0	0	2	2	1	1	2	2	1	3	211	380	277	199	512	201	212	229	53	54	49	60	379	217	247	174	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Cyanobacteriota	4	6	5	6	11	4	9	5	8	3	5	7	286	12	685	1	616	173	1	443	1322	1988	2570	61	32	1427	2	0	0	1	1	2	3	3	1	2	1	1	11	398	813	394	354	694	478	284	368	267	189	274	276	450	352	359	276	4	2	7	7	0	6	6	1	2	0	25	2	0	0	0	0	0	0	0	0	0	0	0	2
TRUE	Euglenozoa	0	1	3	0	1	0	4	2	1	0	1	2	2	0	10	0	7	4	0	51	24	14	3	9	9	5	1	2	0	0	0	6	2	2	1	1	3	2	2	153	297	166	152	271	196	121	110	382	284	547	1218	156	128	105	128	1	1	1	0	0	1	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Euryarchaeota	0	0	0	0	0	2	0	1	0	0	2	1	0	0	1	0	0	0	0	3	2	1	0	1	2	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1168	1111	670	702	1135	756	565	587	522	667	402	519	720	658	380	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Evosea	0	0	0	1	0	0	4	0	1	1	0	3	13	0	23	1	55	33	0	52	39	31	21	6	4	28	1	3	2	1	2	8	19	4	11	2	4	3	5	166	327	180	136	166	142	112	90	136	126	155	159	55	74	67	34	9	4	27	10	1	163	136	75	0	6	22	2	0	0	0	0	0	0	0	1	0	0	0	0
TRUE	Fusobacteriota	1224	1247	1487	1233	1156	1179	2190	807	2682	1846	3467	2855	4357	429	5709	14	5018	5573	0	5941	79766	80041	23133	3249	2601	16099	71	3210	3587	2804	2629	2649	4927	3984	2017	5832	6647	6363	6278	11250	37883	19243	12261	11853	17125	11853	6688	53823	47430	50775	29379	18290	16602	21536	6066	1336	904	12998	8010	9	6507	4353	3630	3778	1060	115727	1933	116	326	212	472	41	193	250	480	3195	1352	1908	912
TRUE	Ignavibacteriota	1	1	2	0	0	1	1	2	0	1	1	1	161	4	77	0	123	103	0	98	123	146	45	3	3	57	1	5	3	1	4	1	3	0	1	2	0	6	3	22	41	23	17	33	24	23	10	42	43	56	51	30	36	30	25	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Mycoplasmatota	40	11	33	34	57	21	55	40	15	33	40	44	135	3	201	1	195	70	0	326	102	88	91	16	4	79	0	4	1	1	4	1	1	0	3	0	1	3	0	206	406	264	225	251	197	134	161	288	208	235	247	144	162	143	81	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
