superkingdom	phylum	class	order	family	genus	species
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	[Butyribacterium] methylotrophicum
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	[Clostridium] cocleatum
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium] fimetarium
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium] hylemonae
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	[Clostridium] innocuum
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae		[Clostridium] methylpentosum
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium] polysaccharolyticum
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium] populeti
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium] scindens
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	[Clostridium] spiroforme
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium] symbiosum
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriales Family XIII. Incertae Sedis		[Eubacterium] nodatum
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae		[Eubacterium] rectale
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae		[Eubacterium] siraeum
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus] gnavus
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	[Ruminococcus] gnavus CAG:126
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus] lactaris
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus] torques
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	[Ruminococcus] torques CAG:61
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella	Absiella sp. AM09-45
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella	Absiella sp. AM09-50
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella	Absiella sp. AM10-20
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella	Absiella sp. AM22-9
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella	Absiella sp. AM29-15
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Acetatifactor	Acetatifactor muris
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Acetitomaculum	Acetitomaculum ruminis
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio clariflavus
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio ethanolgignens
Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Acetoanaerobium	Acetoanaerobium noterae
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. AONIH1
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. MFA1 R4
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. RTa
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriales Family XII. Incertae Sedis	Acidaminobacter	Acidaminobacter hydrogenoformans
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus fermentans
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. 20-67-58
Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Acidiplasma	Acidiplasma cupricumulans
Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferrivorans
Bacteria	Acidobacteria					Acidobacteria bacterium Mor1
Bacteria	Acidobacteria					Acidobacteria bacterium RIFCSPLOWO2_02_FULL_64_15
Bacteria	Acidobacteria					Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36
Bacteria	Acidobacteria					Acidobacteria bacterium SCN 69-37
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Acidobacterium sp.
Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter sp. CIP 101966
Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Actinokineospora	Actinokineospora auranticolor
Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura logoneensis
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces johnsonii
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces naeslundii
