Row.names	sample	DNA_isolation_method	sample_name	sample_nr	GS_name	Vregion	platform	workflow	db	method	GS_version	Detection_threshold_ratio	Detection_threshold	statistic	value	Detection_threshold_percent	level
V1.V9_ONT_EMU_EMUdb__I1_D6331	V1-V9_ONT_EMU_EMUdb__I1_D6331	I	I1	1	NA	V1-V9	ONT	EMU	EMUdb		D6331	1e-04	136.802100000003	True_positives	10	0.01%	Species
V1.V9_ONT_EMU_EMUdb__I1_D6331	V1-V9_ONT_EMU_EMUdb__I1_D6331	I	I1	1	NA	V1-V9	ONT	EMU	EMUdb		D6331	0.001	1368.02100000003	True_positives	9	0.1%	Species
V1.V9_ONT_EMU_EMUdb__I1_D6331	V1-V9_ONT_EMU_EMUdb__I1_D6331	I	I1	1	NA	V1-V9	ONT	EMU	EMUdb		D6331	0.01	13680.2100000003	True_positives	5	1%	Species
V1.V9_ONT_EMU_EMUdb__I2_D6331	V1-V9_ONT_EMU_EMUdb__I2_D6331	I	I2	2	NA	V1-V9	ONT	EMU	EMUdb		D6331	1e-04	135.917199999997	True_positives	10	0.01%	Species
V1.V9_ONT_EMU_EMUdb__I2_D6331	V1-V9_ONT_EMU_EMUdb__I2_D6331	I	I2	2	NA	V1-V9	ONT	EMU	EMUdb		D6331	0.001	1359.17199999997	True_positives	9	0.1%	Species
V1.V9_ONT_EMU_EMUdb__I2_D6331	V1-V9_ONT_EMU_EMUdb__I2_D6331	I	I2	2	NA	V1-V9	ONT	EMU	EMUdb		D6331	0.01	13591.7199999997	True_positives	5	1%	Species
V1.V9_ONT_EMU_EMUdb__I3_D6331	V1-V9_ONT_EMU_EMUdb__I3_D6331	I	I3	3	NA	V1-V9	ONT	EMU	EMUdb		D6331	1e-04	141.799399999993	True_positives	9	0.01%	Species
V1.V9_ONT_EMU_EMUdb__I3_D6331	V1-V9_ONT_EMU_EMUdb__I3_D6331	I	I3	3	NA	V1-V9	ONT	EMU	EMUdb		D6331	0.001	1417.99399999993	True_positives	9	0.1%	Species
V1.V9_ONT_EMU_EMUdb__I3_D6331	V1-V9_ONT_EMU_EMUdb__I3_D6331	I	I3	3	NA	V1-V9	ONT	EMU	EMUdb		D6331	0.01	14179.9399999993	True_positives	5	1%	Species
V1.V9_ONT_EMU_EMUdb__MN1_D6331	V1-V9_ONT_EMU_EMUdb__MN1_D6331	MN	MN1	1	NA	V1-V9	ONT	EMU	EMUdb		D6331	1e-04	151.864700000011	True_positives	11	0.01%	Species
V1.V9_ONT_EMU_EMUdb__MN1_D6331	V1-V9_ONT_EMU_EMUdb__MN1_D6331	MN	MN1	1	NA	V1-V9	ONT	EMU	EMUdb		D6331	0.001	1518.64700000011	True_positives	9	0.1%	Species
V1.V9_ONT_EMU_EMUdb__MN1_D6331	V1-V9_ONT_EMU_EMUdb__MN1_D6331	MN	MN1	1	NA	V1-V9	ONT	EMU	EMUdb		D6331	0.01	15186.4700000011	True_positives	8	1%	Species
V1.V9_ONT_EMU_EMUdb__MN2_D6331	V1-V9_ONT_EMU_EMUdb__MN2_D6331	MN	MN2	2	NA	V1-V9	ONT	EMU	EMUdb		D6331	1e-04	152.837699999992	True_positives	11	0.01%	Species
V1.V9_ONT_EMU_EMUdb__MN2_D6331	V1-V9_ONT_EMU_EMUdb__MN2_D6331	MN	MN2	2	NA	V1-V9	ONT	EMU	EMUdb		D6331	0.001	1528.37699999992	True_positives	9	0.1%	Species
V1.V9_ONT_EMU_EMUdb__MN2_D6331	V1-V9_ONT_EMU_EMUdb__MN2_D6331	MN	MN2	2	NA	V1-V9	ONT	EMU	EMUdb		D6331	0.01	15283.7699999992	True_positives	7	1%	Species
