species	Zymo_D6331_Z	Zymo_D6331_Q	Zymo_D6331_I	Zymo_D6331_MN	V1.V9_ONT_EMU_EMUdb__Z1_D6331	V1.V9_ONT_EMU_EMUdb__Z2_D6331	V1.V9_ONT_EMU_EMUdb__Z3_D6331	V1.V9_ONT_EMU_EMUdb__Q1_D6331	V1.V9_ONT_EMU_EMUdb__Q2_D6331	V1.V9_ONT_EMU_EMUdb__Q3_D6331	V1.V9_ONT_EMU_EMUdb__I1_D6331	V1.V9_ONT_EMU_EMUdb__I2_D6331	V1.V9_ONT_EMU_EMUdb__I3_D6331	V1.V9_ONT_EMU_EMUdb__MN1_D6331	V1.V9_ONT_EMU_EMUdb__MN2_D6331	V1.V9_ONT_EMU_EMUdb__MN3_D6331
[Ruminococcus] gnavus	0	0	0	0	0	0	14.6451306044413	0	0	0	0	0	0	0	0	0
Acinetobacter guillouiae	0	0	0	0	0	0	0	0	0	0	0	0	0	37.0030457247244	41.0030583741149	42.0038759151807
Akkermansia muciniphila	97000	97000	97000	97000	1221.36263581295	359.987126700139	3034.66056296563	0	0	14.057143714898	696.047827113581	150.011699211076	90.0063474420514	1305.47496703488	902.067284230528	3014.2781421364
Bacteroides fragilis	994000	994000	994000	994000	12214.6573472357	8532.06443963764	8404.78428381074	57.2031180400891	38.1405094494659	29.1183673469388	2432.57840930738	2184.17034051326	2749.22775229471	42060.6104579106	19184.3015014882	51616.5130957597
Bifidobacterium adolescentis	878000	878000	878000	878000	0	0	0	0	0	0	19.0013056252271	29.0022618474747	28.0019747597493	0	0	0
Blautia glucerasea	0	0	0	0	183.054350833877	0	26.88142974403	0	0	0	0	0	0	0	0	0
Blautia hansenii	0	0	0	0	51.0342422070881	0	0	0	0	0	0	0	0	0	0	0
Blautia producta	0	0	0	0	58.7770642227852	0	0	0	0	0	0	0	0	0	0	0
Blautia sp. N6H1-15	0	0	0	0	14.2037721576221	0	0	0	0	0	0	0	0	0	0	0
Clostridioides difficile	262000	262000	262000	262000	33894.9644284086	29752.5473497001	29430.5744690328	102.363474387528	123.454806902219	159.668183521713	3851.08237424725	3427.81230912637	4960.92394142103	86442.6482447695	78160.2945513165	61561.6306583542
