genus	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z5_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300
Halioglobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	6	0	4	1	0	0	3
Halolactibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	1	1	0	1	1	1	2	1
Halopseudomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	5	17	9	10	4	19	6	5	0	16
Heyndrickxia	0	0	0	0	0	0	0	0	2	1	0	0	3	0	1	0	0	0	0	0	0	2	0	68	9	9	16	12	11	2	13	2	14	7	13
Hymenobacter	0	0	0	0	1	1	2	2	0	1	1	3	1	1	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0
Isobaculum	0	0	0	0	2	1	0	4	3	2	1	0	17	1	1	1	0	0	0	1	1	0	0	3	3	3	0	1	0	1	0	0	4	2	1
Izhakiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	2	1	32	11	20	9	20	14	9	8	11
Klebsiella	0	0	0	0	1	2	1	26	15	6	6	9	31	7	6	1	0	1	2	4	3	3	2	110	68	31	302	208	154	252	151	135	165	74	186
Kluyvera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	1	2	0	1	1	1
Kosakonia	0	0	0	0	166	239	208	750	592	752	510	664	464	409	583	39	34	130	152	132	129	122	115	358	318	166	1336	1150	889	1150	1124	801	910	545	806
Laceyella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	1	3	1	0	1	0	0
Lacticaseibacillus	0	0	0	0	3	2	2	0	3	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Lactiplantibacillus	0	0	0	0	15	12	8	2	5	1	0	1	4	5	6	2	3	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus	0	0	0	0	2551	2736	2712	753	791	201	97	119	1395	1171	984	657	677	114	72	43	36	131	97	915	1310	1025	352	315	214	67	195	34	654	369	242
Leclercia	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	8	8	1	22	27	9	20	25	19	16	19	19
Lederbergia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	7	4	7	3	4	2	0	7	4	3
Lelliottia	0	0	0	0	2	1	2	25	5	8	3	1	23	4	4	0	0	0	2	1	1	3	3	47	38	28	181	185	130	188	147	151	107	88	152
Ligilactobacillus	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	14	9	3	7	6	1	6	2	5	5	3
Limosilactobacillus	1840000	1840000	1840000	1840000	13476	13728	14496	4160	4155	1119	536	678	8241	6123	4821	3525	3641	554	430	203	221	697	504	18495	22343	17304	6253	6032	4035	1354	3433	686	11769	6729	4161
Listeria	1410000	1410000	1410000	1410000	15909	18407	18660	4154	6062	2038	995	1377	9929	7492	3860	4450	3917	925	510	333	383	1071	1405	14164	15275	13030	3728	5179	3667	1419	2573	714	8135	5038	5997
Litchfieldia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	4	13	7	15	8	15	3	12	7	9
Luteimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	9	7	12	5	12	3	8	4	4
Lysinibacillus	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	2	0	0	232	61	25	82	69	63	26	74	36	68	29	35
Mammaliicoccus	0	0	0	0	2	2	0	0	1	0	0	0	3	2	0	1	0	0	0	0	0	0	0	37	46	43	24	22	11	3	4	0	8	2	5
Mangrovibacter	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	7	1	0	15	18	10	13	5	7	8	6	2
Margalitia	0	0	0	0	0	0	0	1	0	0	1	0	4	0	0	0	0	0	0	1	0	1	0	3	0	2	2	1	1	1	3	0	3	1	0
Marinobacter	0	0	0	0	0	0	0	14	4	1	1	0	11	0	2	0	0	0	1	3	2	0	0	43	42	23	138	141	111	118	116	98	95	65	89
Massilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	2	4	1	0	0	1	0	0	1	1
Melghirimyces	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	50	27	46	54	43	22	63	14	44	26	50
Melissococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	0	1	0	1	0	0	0	2	0
Mesobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	11	6	7	8	12	10	12	6	12	10	16
Metakosakonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	5	3	22	20	14	15	21	8	10	9	9
Methylobacterium	0	0	0	0	2	5	5	10	9	4	7	5	12	4	9	0	0	0	0	2	3	1	2	5	5	1	1	4	0	1	4	1	3	1	5
Methylophaga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	4	4	5	1	1	2	1	3
Micavibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	4	0	0	2	2	3	3	0	1
Microbacterium	0	0	0	0	3	7	3	6	7	11	0	6	6	8	6	1	0	3	1	3	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0
Mixta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	5	4	40	15	12	18	20	15	16	9	11
Musicola	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	5	1	7	5	1	2	1	2
Mycobacterium	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	4	0	5	0	1
Natribacillus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	52	11	6	18	18	18	7	18	7	19	6	13
Nitratireductor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	2	0	0	0	0	2	1	1
Nostoc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	5	3	2	2	0	1	2	3
Oceanobacillus	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	34	63	53	65	110	63	85	111	30	84	45	102
Paenibacillus	0	0	0	0	56	80	65	71	105	99	57	82	118	57	121	19	12	28	21	21	19	18	20	30	20	16	20	22	29	23	30	8	18	13	28
Paenisporosarcina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	1	1	0	1	0	1	1	1
Pantoea	0	0	0	0	2	1	0	12	14	9	3	3	47	4	6	4	0	1	1	5	3	1	0	46	30	18	138	88	90	100	97	81	89	47	83
Parabacteroides	0	0	0	0	28	32	43	19	26	30	21	39	29	26	34	6	6	9	8	7	6	10	10	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia	0	0	0	0	1	0	0	4	7	10	1	2	8	0	0	1	2	0	0	1	1	0	0	98	97	64	364	310	259	322	353	228	237	122	252
Parageobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	7	2	11	8	12	4	11	2	9	2	4
Paucilactobacillus	0	0	0	0	2	4	4	1	2	0	0	0	2	2	3	0	1	0	0	1	0	0	0	7	1	3	1	1	1	0	3	0	6	4	2
Pectobacterium	0	0	0	0	118	121	136	287	232	244	121	186	492	145	248	42	25	47	35	70	49	42	40	12	9	7	12	16	16	15	27	7	21	11	8
Peribacillus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	6	0	3	7	2	1	8	4	6	4	9
Phenylobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	3	8	3	2	5	2	2	1	4
Photorhabdus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3	2	1	1	2	1	0	0	0
Phytobacter	0	0	0	0	0	0	0	2	3	2	0	2	1	4	2	0	0	0	0	0	0	0	0	21	10	6	43	48	22	48	30	31	36	20	41
Planococcus	0	0	0	0	0	0	0	2	1	2	0	0	11	1	0	1	0	0	1	0	1	1	0	37	19	12	12	19	10	7	11	3	18	15	9
Plantactinospora	0	0	0	0	3	3	3	0	4	3	1	1	1	2	2	0	0	0	2	0	0	1	2	7	3	1	12	6	3	5	7	5	4	5	6
Pluralibacter	0	0	0	0	0	0	0	0	2	3	1	0	2	0	3	0	0	1	0	0	0	0	0	8	10	8	45	40	24	72	26	29	43	23	31
Pragia	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	3	2	1	0	0
Prevotella	0	0	0	0	3	10	6	3	2	1	4	6	7	3	5	2	0	3	0	0	2	1	1	1	0	0	0	1	0	0	1	0	0	0	0
Priestia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	2	1	0	3	0	2	0	1	0	1
Prochlorothrix	0	0	0	0	180	175	177	629	533	853	495	536	463	349	495	42	40	93	120	114	92	76	104	0	0	0	0	1	1	0	0	0	0	0	1
Propionivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	3	2	0	0	1	3	2	2
Pseudescherichia	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	3	8	7	2	7	7	12	7	2	4
Pseudocitrobacter	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	5	0	5	1	2	2	1	2
Pseudomonas	420000	420000	420000	420000	1594	1621	1676	8931	4550	4498	3358	4741	2485	2014	3672	369	335	1211	1839	966	701	814	750	775	2970	1547	6837	3119	9013	2382	11591	2174	1132	747	7549
Psychrobacillus	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	0	8	7	3	5	6	3	3	2	10
Psychromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	23	6	5	5	5	6	8	3	6
Quasibacillus	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	2	1	3	4	7	6	8	2	3	3	5
Raoultella	0	0	0	0	1	1	0	1	2	1	1	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	6	2	3	3	3	3
Rhodococcus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	8	6	4	9	14	9	10	3	7	4	15
Roseomonas	0	0	0	0	0	0	0	4	2	3	2	2	0	0	1	0	0	0	0	0	0	3	0	16	62	28	112	66	177	44	242	44	19	13	174
Rossellomorea	0	0	0	0	0	1	0	1	3	0	0	0	8	0	1	0	0	0	0	0	0	1	0	6	17	4	14	13	17	12	27	4	13	9	23
Saccharobesus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	14	2	17	25	15	20	15	15	12	14	13
Salinivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	2	1	2	0	1	1	1	0	1
Salipaludibacillus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	39	18	12	9	15	7	0	3	0	2	2	3
Salisediminibacterium	0	0	0	0	0	1	4	2	0	0	2	2	1	1	3	0	0	0	0	0	0	0	0	4	1	2	7	4	2	3	6	1	4	4	8
Salmonella	1040000	1040000	1040000	1040000	7930	8837	9269	28534	24492	30925	21652	28636	20065	16849	23545	1922	1678	5195	6450	5502	5290	5299	5374	6105	5851	3581	20882	19925	16986	20112	17389	13706	14757	10267	15218
Segniliparus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	2	5	4	2	4	9	0	4	2	3
Serratia	0	0	0	0	0	1	1	12	7	3	1	1	14	0	3	1	0	2	0	1	0	1	2	25	36	31	112	111	73	134	86	91	82	47	103
Shigella	0	0	0	0	4140	4685	4814	16337	13475	16594	11706	15346	11453	9155	12946	1019	885	2765	3704	3109	2810	2831	3038	5470	4889	2941	19566	18235	14619	18052	15702	12171	13224	8876	13621
Shimwellia	0	0	0	0	0	2	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	1	15	9	7	14	5	7	7	4	7
Siccibacter	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	16	13	5	9	5	6	8	6	5
Snowella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	1	3	0	3	0	3	1	1	1	3
Sodalis	0	0	0	0	0	1	0	1	2	2	2	2	3	1	1	0	0	0	1	0	0	1	0	37	7	3	30	17	17	10	21	8	13	4	6
Solibacillus	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	2	1	0	0	0	0	0	1	8	12	7	8	4	15	3	7	1	8	4	16
Sphingomonas	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	13	9	5	41	30	35	30	24	16	22	19	23
Sporosarcina	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	60	94	62	163	186	144	193	154	96	169	87	159
Staphylococcus	1550000	1550000	1550000	1550000	16652	17905	18265	6293	8615	881	461	631	3278	2736	1670	4462	3929	1294	605	157	158	367	326	14499	15565	11973	5506	7790	4622	661	1704	370	2709	2069	1733
Stenotrophomonas	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	2	3	4	1	1	2	2	1	0	1
Streptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	2	1	1	2	0	1	0	1
Streptomyces	0	0	0	0	5	11	3	8	6	6	3	4	12	0	8	4	1	1	0	1	0	4	1	41	149	88	320	134	423	128	493	109	71	49	413
Superficieibacter	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	60	73	28	230	218	188	188	193	123	154	95	151
Sutcliffiella	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	9	2	7	12	9	19	4	7	4	9
Suttonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	2	2	1	4	1	2	1	2
Tatumella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	6	17	18	18	15	20	23	17	8	18
Tepidibacillus	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	0	0	1	2	1	2	2	1	2	2	2
Thermoflavimicrobium	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	3	4	7	2	2	2	4	3	5	12
Thioploca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	10	5	1	3	2	3	2	0	2
Trabulsiella	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	4	0	0	1	0	0
Trichococcus	0	0	0	0	0	0	1	1	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	7	10	6	2	6	6	5	10	3	7	2	6
Tumebacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	6	3	5	2	2	3	6	2	4
unclassified	0	0	0	0	1	2	3	11	2	6	2	5	14	0	3	1	2	1	4	4	1	0	0	101	84	44	148	126	107	91	117	63	90	57	110
Vibrio	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	3	17	11	13	6	10	5	7	4	5
Virgibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	17	8	11	10	14	19	26	7	15	10	25
Weissella	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	6	5	2	1	0	0	0	5	4	1
Weizmannia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	2	0	3	4	0	2	1	3	3	2
Xenorhabdus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	10	12	13	9	10	7	8	2	9
Yersinia	0	0	0	0	0	0	0	6	4	4	2	0	3	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0
Yokenella	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	6	8	44	38	26	70	36	34	48	24	47
