species	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z5_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300
Bacillus atrophaeus	0	0	0	0	7	13	9	42	26	23	9	23	111	19	24	10	1	5	2	5	6	6	5	1421	1404	1174	1624	2329	2701	1827	2885	1006	2094	1357	2454
Bacillus sp. JS	0	0	0	0	12692	14468	15063	15100	22131	21228	10950	17963	19458	15809	28152	3088	2913	5909	2924	3724	3929	5122	4459	3144	2962	2503	3630	5036	5533	3960	6461	2155	4663	3076	4948
Bacillus sp. MD-5	0	0	0	0	364	416	447	441	626	636	323	532	603	507	849	105	92	166	104	107	153	160	151	2242	2271	1852	2663	3701	4559	2870	4870	1596	3577	2290	3524
Bacillus subtilis	1740000	1740000	1740000	1740000	2027	2358	2457	2639	3614	3551	1700	2794	3634	2553	4560	579	495	986	508	613	718	848	745	4537	4110	3361	4939	6738	7523	5170	9002	2874	5939	3876	6707
Citrobacter koseri	0	0	0	0	1225	1319	1486	4637	3860	4727	3254	4495	3337	2434	3457	294	285	789	987	912	827	829	871	704	602	363	2564	2243	1714	2190	1910	1306	1621	984	1636
Enterococcus faecalis	990000	990000	990000	990000	9170	9906	10334	4373	6710	1763	862	1193	7743	6563	4109	2517	2297	968	498	231	330	1476	1202	5668	5651	4741	2762	3924	2325	871	1455	489	4825	3174	3009
Escherichia coli	1010000	1010000	1010000	1010000	6155	6876	7262	21665	19605	24377	17556	23080	15315	13471	18735	1355	1285	4293	5112	4208	4002	4241	4302	3044	2435	1466	9786	9644	8099	9131	8080	6210	6732	4733	6886
Escherichia fergusonii	0	0	0	0	435	473	546	1694	1526	1946	1363	1698	1417	1074	1474	131	112	345	379	374	346	318	372	276	290	161	1107	1115	797	1043	877	626	760	456	782
Lactobacillus sp. HMSC24D01	0	0	0	0	2551	2736	2712	753	791	201	97	119	1395	1171	984	657	676	114	72	43	36	131	97	914	1307	1022	351	314	212	67	195	34	654	369	242
Limosilactobacillus fermentum	1840000	1840000	1840000	1840000	6707	6946	7189	1970	2058	542	272	330	3869	3021	2364	1712	1840	291	206	103	104	347	247	8390	9693	7321	2669	2584	1768	584	1495	304	5096	2825	1810
Limosilactobacillus oris	0	0	0	0	6715	6725	7265	2134	2063	570	261	347	4233	3071	2431	1771	1785	259	216	99	115	343	251	10042	12565	9914	3558	3423	2256	762	1929	381	6621	3876	2332
