dummy	genus	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_17	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_37	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_57	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_50	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_60	sample_1	sample_10	sample_15	sample_17	sample_20	sample_25	sample_30	sample_35	sample_37	sample_40	sample_5	sample_50	sample_55	sample_57	sample_60
TRUE		711839	1029969	64467	294858	384749	1071395	3002340	1281033	1050900	235706	765150	464153	337588	15964	34563	102712	299828	135513	80930	21051	45297	79815	19246	50025	35137	64	160	541	816	1512	644	407	80	1251	200	423	103	138	71	200
TRUE	Alistipes	2719	453347	284716	5198523	4619	37127	5763	84813	25179	171	188724	25303	660012	521905	439	3869	538	8372	2472	21	102540	18940	4719	2428	66043	3221	2	22	3	3	45	14	0	607	643	157	20	38	421	391
TRUE	Anaerotignum	4516	5478	840	1795	24606	9312	1388	2416	886	169082	5647	5920	17933	93	2554	899	86	191	61	17425	1175	564	332872	591	1883	0	12	4	4	0	0	0	83	4	6	1	2009	2	0	10
TRUE	Bacteroides	26134	122331	935660	76246	98693	2013864	40892	2862940	1186238	36218	433711	42150	1248350	2098	9839	197460	3109	277815	117071	2367	141586	42141	493531	3764	120275	0	33	962	3	8	1194	528	17	92	716	257	2161	41	671	509
TRUE	Bilophila	14	12	2	2	37	10	33	30	19	0	585767	5	6	0	0	0	0	0	0	0	77490	58753	11125	0	0	0	0	0	0	0	0	0	0	0	423	427	58	0	0	0
TRUE	Blautia	35788	507355	4164	197253	368855	265377	107583	1081064	2341473	200088	86058	105203	111285	18789	37031	25817	10661	107643	232341	19737	25086	8887	21778	11099	11021	108	178	186	100	60	435	1037	132	931	148	38	120	78	4	43
TRUE	Bosea	2744	54	2660	15561	6607	117	61380	6184	5091	1329093	324	124	5259	1551	638	1	6070	605	503	131830	0	1	2149	0	527	7	2	0	3	22	2	2	414	0	0	0	8	0	3	2
TRUE	Butyrivibrio	827936	818294	121620	577654	320898	1996615	119825	261122	1201055	107343	113091	59432	148875	34488	23186	188820	6763	21409	117617	9970	276667	8852	1173	4620	14298	946	282	1150	941	164	196	613	45	757	1657	149	6	75	89	79
TRUE	Coprococcus	5880	277126	458	5164	17767	34837	17911	10981	1232311	47264	8511	2452	1181	99	1925	3731	1661	1028	146325	5565	537	936	13	192	78	0	10	22	0	11	6	1140	33	334	3	8	0	0	0	0
TRUE	Enterocloster	177926	558154	47879	458484	125047	446622	132622	196552	51226	336380	395060	393074	180767	47771	13298	46939	13764	20843	5317	32081	69151	38310	166	36860	18781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Faecalibacterium	311551	105672	56188	183662	13335	277159	262789	158935	37576	26151	71569	39036	48710	12339	1222	25899	17385	14774	3493	2461	11441	6608	1	3532	4503	217	8	217	369	263	128	33	17	132	103	81	0	49	68	38
TRUE	Hungatella	1368	1778	31632	2341	7044	1414	8928	860	644	1477	7780085	10859849	5865	99	946	95	1100	42	44	70	92	862218	3	1202458	781	0	2	0	0	3	0	0	0	0	0	4246	0	6928	25	2
TRUE	Lachnoclostridium	15954	150656	8968	3490	13465	24268	48777	81504	147690	1221	36196	62484	13091	139	1435	2653	5448	8686	15700	54	6426	3472	66	6116	1312	177	44	183	156	73	120	109	119	701	295	168	0	182	57	84
TRUE	Lacticaseibacillus	751174	24084	143258	804868	1477699	586935	2230573	113767	227335	88695	20448	7596	153479	84480	155610	61471	233642	12274	24003	9192	14791	2163	1021	810	16105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Lactiplantibacillus	30842	86113	27058	788	664697	397977	19100	236416	23207	620893	8726	109	53254	77	66345	39791	1979	23678	2352	62102	5049	885	287	8	5387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Lactobacillus	1778690	235151	489807	1391705	3832539	1750015	3983399	509147	469789	3028952	71593	38051	493117	140079	375291	172131	402194	49509	47171	308429	38768	7240	7344	3920	49760	602	3597	2256	1389	1603	1096	373	5133	1193	584	132	124	105	820	608
TRUE	Ligilactobacillus	4424	181398	78242	4877	584257	370380	17203	219359	33537	2135007	18936	17945	175230	496	63005	40038	1720	23837	3588	224699	6709	2075	5092	1958	18106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Loigolactobacillus	3026	38230	7444	4111	398303	236109	11123	160230	46635	869606	10014	2822	33191	211	39642	23487	638	16090	4660	87528	5839	998	954	276	3286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Odoribacter	363	469440	45702	891	50	5293	171	2432	740	148366	245742	513	120089	19	1	190	7	152	46	14857	15884	24547	142	23	11967	0	0	0	0	0	0	0	66	386	92	191	0	0	36	63
TRUE	Oribacterium	191133	78523	20841	26136	61779	231247	88239	10611	36246	748	76373	4056	55647	2361	5953	22482	8742	972	3511	45	933	7560	6	373	5537	11	28	165	313	47	4	25	0	171	3	91	0	2	22	43
TRUE	Parabacteroides	1419364	7060	83479	2334552	581	470749	1354504	111737	64074	67281	54727	9455	116120	232886	34	47422	134794	8643	5061	6738	8338	5466	91919	883	10933	801	0	132	836	414	18	14	17	4	29	22	376	6	46	43
