sample	superkingdom	phylum	class	order	family	genus	species	norm_count
sample_17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus helveticus	780585.868419428
sample_17	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides gordonii	436507.079216468
sample_17	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides sp. HGS0025	1716424.11475965
sample_17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. DS3_6	149479.833019691
sample_17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. DS18_6	149385.715439782
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA	Lachnospiraceae bacterium KH1T2	84046.998859019
sample_17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. DS15_6	150035.488731848
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia hansenii	41937.2249812593
sample_17	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides acidifaciens	7058.21517537876
sample_17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus paracasei	1055761.53936147
sample_17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus casei	267921.980793006
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	Faecalibacterium prausnitzii	342664.008915221
sample_17	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides sp. merdae-related_45_40	24033.1653569718
sample_17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. DS22_6	660506.91940064
sample_17	Bacteria	candidate division NC10	NA	NA	NA	NA	candidate division NC10 bacterium CSP1-5	11.4630385786987
sample_17	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanolacinia	Methanolacinia petrolearia	2.41327127972605
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Pseudobutyrivibrio	Pseudobutyrivibrio sp. AR14	86193.0003445154
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA	Lachnospiraceae bacterium 2_1_58FAA	12145.9943508612
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	NA	Ruminococcaceae bacterium YAD3003	123453.908903486
sample_17	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas gingivalis	312222.401674937
sample_17	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides sp. CAG:409	264.253205130002
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Enterocloster	Enterocloster clostridioformis	339605.790885988
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA	Lachnospiraceae bacterium 2_1_46FAA	587112.703288151
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Hydrogenoanaerobacterium	Hydrogenoanaerobacterium saccharovorans	264343.099485172
sample_17	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas asaccharolytica	48537.5219313101
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Butyrivibrio	Butyrivibrio sp. TB	158749.208005119
sample_17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus plantarum	46738.4281922743
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA	Lachnospiraceae bacterium 28-4	453296.207509522
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Oscillibacter	Oscillibacter sp. KLE 1728	31821.3950944677
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Oscillibacter	Oscillibacter sp. KLE 1745	31749.6002738958
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Butyrivibrio	Butyrivibrio sp. Su6	14576.7618473653
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Pseudobutyrivibrio	Pseudobutyrivibrio sp. OR37	48466.9337463781
sample_17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum	121538.978143023
sample_17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. DS1_6	150150.722435455
sample_17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. DS13_6	149875.609509566
sample_17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. HMSC068F07	3458.21774384743
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Butyrivibrio	Butyrivibrio fibrisolvens	322065.531907119
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Butyrivibrio	Butyrivibrio proteoclasticus	33799.0709082032
sample_17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus acidilactici	732.427833396855
sample_17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus curvatus	1634.9912920144
sample_17	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania filiformis	34927.2752314751
sample_17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. HMSC25A02	140258.723459858
sample_17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. HMSC056C08	21.1161236976029
sample_17	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella	Absiella sp. AM09-50	244.343717072262
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Oribacterium	Oribacterium sp. WCC10	632866.516798297
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium] scindens	13267.5621781139
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Anaerotruncus	Anaerotruncus colihominis	14043.4288945458
sample_17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. DS9_6	149210.753272002
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Butyrivibrio	Butyrivibrio sp. YAB3001	29723.6590345658
sample_17	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. D2	2176.16737649296
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Subdoligranulum	Subdoligranulum sp. AM23-21AC	158230.957997798
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Subdoligranulum	Subdoligranulum sp. AM16-9	138481.34916234
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Butyrivibrio	Butyrivibrio sp. ob235	41802.0817895947
sample_17	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	Tannerella sp. 6_1_58FAA_CT1	33756.235342988
sample_17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gallinarum	117201.726335535
sample_17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus damnosus	26529.0911780284
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA	Lachnospiraceae bacterium KHCPX20	566.51543291569
sample_17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Pseudobutyrivibrio	Pseudobutyrivibrio xylanivorans	65000.8586016011
sample_17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus mali	1928.20375250111
