dummy	family	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_17	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_37	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_57	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_50	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_60	sample_1	sample_10	sample_15	sample_17	sample_20	sample_25	sample_30	sample_35	sample_37	sample_40	sample_5	sample_50	sample_55	sample_57	sample_60
TRUE		22014	27299	8603	19442	14210	24993	22575	14417	13733	13618	75750	55649	10609	443	228	1084	441	443	584	725	496	6727	1725	4705	449	0	0	0	0	0	0	0	0	4	0	28	0	0	0	0
TRUE	Acutalibacteraceae	212	2346	932	18280	15543	3672	19658	96799	30404	185	1239	4385	14587	1803	1525	344	1926	9674	3036	6	478	84	0	391	1447	0	7	0	0	7	15	0	0	0	0	0	0	1	0	0
TRUE	Akkermansiaceae	2886	25	13	6	182159	10	3619	5556	129921	3	12663	2272	9479	0	16372	0	335	489	11835	0	285	1126	0	207	865	0	120	0	3	3	4	113	0	0	3	15	0	3	0	8
TRUE	Anaerotignaceae	4516	5478	840	1795	24606	9312	1388	2416	886	169082	5647	5920	17933	93	2554	899	86	191	61	17425	1175	564	332872	591	1883	0	12	4	4	0	0	0	83	4	6	1	2009	2	0	10
TRUE	Bacteroidaceae	29043	124617	957344	90155	99054	2049400	43074	2919677	1195602	36923	444806	61355	1314961	2501	9859	200816	3235	284334	117854	2397	147097	43355	501666	5983	127373	0	33	962	3	8	1194	528	17	92	716	257	2161	41	671	509
TRUE	Boseaceae	2744	54	2660	15561	6607	117	61380	6184	5091	1329093	324	124	5259	1551	638	1	6070	605	503	131830	0	1	2149	0	527	7	2	0	3	22	2	2	414	0	0	0	8	0	3	2
TRUE	Carnobacteriaceae	23539	16869	1451	4486	19900	42816	19591	34009	1991	543	3858	5146	26243	448	1937	4368	1987	3541	193	10	1313	382	0	531	2674	4	11	33	53	16	24	2	0	37	11	5	0	7	3	20
TRUE	Chitinophagaceae	443	232	40114	138	14385	5808	17265	442	255	445626	5729	94	491	1	1305	515	1607	0	1	40976	0	518	1718	0	0	0	8	4	0	11	0	0	248	0	0	5	13	0	30	0
TRUE	Christensenellaceae	174	13259	12	1113	7012	5502	174	167578	6549	68	3217	1099	16206	33	701	558	4	8264	411	1	387	108	2	61	550	2	4	4	0	0	293	10	0	29	3	7	0	0	0	33
TRUE	Clostridiaceae	103557	58677	54583	485783	25648	128603	107328	81802	34133	45093	7917361	11026859	76657	25637	1628	8697	8315	5556	2166	4754	5849	875232	507	1219294	7014	35	2	18	0	58	0	0	0	14	48	4261	1	6939	36	6
TRUE	Coprobacillaceae	33064	13021	777	6570	68281	291925	134922	17589	7142	839	44805	28270	3938	212	6861	32333	13552	1657	676	65	1672	3980	325	2412	479	0	31	29	41	126	8	4	0	14	11	42	0	17	0	0
TRUE	Desulfomicrobiaceae	46	17	9	29	78	13	129	52	17	7	57	19149	18	0	0	0	0	1	0	0	0	0	24059	1949	0	0	0	0	0	0	0	0	0	0	0	0	120	15	0	0
TRUE	Desulfovibrionaceae	546	80521	8267	204	2052	307	1022	2721	683	34195	606251	29306	44576	0	40	1	6	195	26	3395	78039	60585	25374	2906	4459	0	12	4	0	11	180	186	50	176	426	445	163	28	41	117
