tax.identity	sample	count	superkingdom	phylum	class	order	family	genus	species
'Candidatus Kapabacteria' thiocyanatum	sample_57	3	Bacteria	Candidatus Kapabacteria	NA	NA	NA	NA	'Candidatus Kapabacteria' thiocyanatum
'Osedax' symbiont bacterium Rs2_46_30_T18	sample_57	1	Bacteria	NA	NA	NA	NA	NA	'Osedax' symbiont bacterium Rs2_46_30_T18
Abiotrophia defectiva	sample_57	9	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia defectiva
Abiotrophia sp. HMSC24B09	sample_57	1103	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia sp. HMSC24B09
Absiella sp. AM09-45	sample_57	14	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella	Absiella sp. AM09-45
Absiella sp. AM09-50	sample_57	7	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella	Absiella sp. AM09-50
Absiella sp. AM10-20	sample_57	43	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella	Absiella sp. AM10-20
Absiella sp. AM22-9	sample_57	50	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella	Absiella sp. AM22-9
Absiella sp. AM29-15	sample_57	31	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella	Absiella sp. AM29-15
Abyssibacter profundi	sample_57	1	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	Abyssibacter	Abyssibacter profundi
Acaryochloris marina	sample_57	4	Bacteria	Cyanobacteria	NA	Synechococcales	Acaryochloridaceae	Acaryochloris	Acaryochloris marina
Acetatifactor muris	sample_57	184	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Acetatifactor	Acetatifactor muris
Acetitomaculum ruminis	sample_57	1500	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Acetitomaculum	Acetitomaculum ruminis
Acetivibrio clariflavus	sample_57	15	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio clariflavus
Acetivibrio ethanolgignens	sample_57	154	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio ethanolgignens
Acetivibrio thermocellus	sample_57	23	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio thermocellus
Acetoanaerobium noterae	sample_57	8	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Acetoanaerobium	Acetoanaerobium noterae
Acetoanaerobium sticklandii	sample_57	13	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Acetoanaerobium	Acetoanaerobium sticklandii
Acetobacter aceti	sample_57	10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter aceti
Acetobacter ascendens	sample_57	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter ascendens
Acetobacter cerevisiae	sample_57	15	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter cerevisiae
Acetobacter cibinongensis	sample_57	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter cibinongensis
Acetobacter fabarum	sample_57	4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter fabarum
Acetobacter ghanensis	sample_57	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter ghanensis
Acetobacter indonesiensis	sample_57	3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter indonesiensis
Acetobacter malorum	sample_57	5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter malorum
Acetobacter okinawensis	sample_57	6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter okinawensis
Acetobacter orientalis	sample_57	4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter orientalis
Acetobacter orleanensis	sample_57	3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter orleanensis
Acetobacter pasteurianus	sample_57	2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus
Acetobacter persici	sample_57	7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter persici
Acetobacter senegalensis	sample_57	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter senegalensis
Acetobacter sp. DsW_059	sample_57	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter sp. DsW_059
Acetobacter sp. DsW_54	sample_57	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter sp. DsW_54
Acetobacter syzygii	sample_57	7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter syzygii
Acetobacter tropicalis	sample_57	5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter tropicalis
Acetobacteraceae bacterium	sample_57	9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA	Acetobacteraceae bacterium
Acetobacteraceae bacterium AT-5844	sample_57	18	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA	Acetobacteraceae bacterium AT-5844
Acetobacterium bakii	sample_57	16	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium bakii
Acetobacterium sp. KB-1	sample_57	7	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium sp. KB-1
Acetobacterium sp. MES1	sample_57	5	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium sp. MES1
Acetobacterium wieringae	sample_57	5	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium wieringae
Acetobacterium woodii	sample_57	3	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium woodii
Acetohalobium arabaticum	sample_57	1	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	Acetohalobium	Acetohalobium arabaticum
Acetomicrobium flavidum	sample_57	1	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Acetomicrobium	Acetomicrobium flavidum
Acetomicrobium thermoterrenum	sample_57	1	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Acetomicrobium	Acetomicrobium thermoterrenum
Acetonema longum	sample_57	11	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Sporomusaceae	Acetonema	Acetonema longum
Achromobacter aegrifaciens	sample_57	8	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter aegrifaciens
Achromobacter arsenitoxydans	sample_57	6	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter arsenitoxydans
Achromobacter denitrificans	sample_57	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter denitrificans
Achromobacter dolens	sample_57	5	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter dolens
Achromobacter insolitus	sample_57	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter insolitus
Achromobacter kerstersii	sample_57	6	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter kerstersii
Achromobacter marplatensis	sample_57	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter marplatensis
Achromobacter piechaudii	sample_57	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter piechaudii
Achromobacter pulmonis	sample_57	8	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter pulmonis
Achromobacter ruhlandii	sample_57	7	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter ruhlandii
Achromobacter sp. 2789STDY5608615	sample_57	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. 2789STDY5608615
Achromobacter sp. 2789STDY5608628	sample_57	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. 2789STDY5608628
Achromobacter sp. 2789STDY5608633	sample_57	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. 2789STDY5608633
Achromobacter sp. AONIH1	sample_57	7	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. AONIH1
Achromobacter sp. HZ28	sample_57	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. HZ28
Achromobacter sp. MFA1 R4	sample_57	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. MFA1 R4
Achromobacter sp. RTa	sample_57	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. RTa
Achromobacter sp. Root170	sample_57	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. Root170
Achromobacter sp. Root565	sample_57	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. Root565
Achromobacter sp. Root83	sample_57	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. Root83
Achromobacter spanius	sample_57	10	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter spanius
Achromobacter xylosoxidans	sample_57	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans
Acidaminobacter hydrogenoformans	sample_57	1653	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriales Family XII. Incertae Sedis	Acidaminobacter	Acidaminobacter hydrogenoformans
Acidaminococcus fermentans	sample_57	21	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus fermentans
Acidaminococcus intestini	sample_57	3	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus intestini
Acidaminococcus intestini CAG:325	sample_57	1	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus intestini CAG:325
Acidaminococcus sp. CAG:542	sample_57	4	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus sp. CAG:542
Acidaminococcus sp. HPA0509	sample_57	2	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus sp. HPA0509
Acidianus hospitalis	sample_57	2	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	Acidianus hospitalis
Acidihalobacter aeolianus	sample_57	9	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidihalobacter	Acidihalobacter aeolianus
Acidihalobacter ferrooxydans	sample_57	2	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidihalobacter	Acidihalobacter ferrooxydans
Acidihalobacter prosperus	sample_57	3	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidihalobacter	Acidihalobacter prosperus
Acidihalobacter yilgarnensis	sample_57	2	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidihalobacter	Acidihalobacter yilgarnensis
Acidimicrobium ferrooxidans	sample_57	2	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium	Acidimicrobium ferrooxidans
Acidiphilium cryptum	sample_57	6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium cryptum
Acidiphilium multivorum	sample_57	6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium multivorum
Acidiphilium rubrum	sample_57	2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium rubrum
Acidiphilium sp. 20-67-58	sample_57	7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. 20-67-58
Acidiphilium sp. 21-60-14	sample_57	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. 21-60-14
Acidiphilium sp. 34-64-41	sample_57	4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. 34-64-41
Acidiphilium sp. 37-64-53	sample_57	5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. 37-64-53
Acidiphilium sp. JA12-A1	sample_57	3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. JA12-A1
Acidipila sp. 4G-K13	sample_57	2	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidipila	Acidipila sp. 4G-K13
Acidipropionibacterium acidipropionici	sample_57	4	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Acidipropionibacterium	Acidipropionibacterium acidipropionici
Acidipropionibacterium virtanenii	sample_57	4	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Acidipropionibacterium	Acidipropionibacterium virtanenii
Acidithiobacillus ferridurans	sample_57	1	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferridurans
Acidithiobacillus ferrivorans	sample_57	2	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferrivorans
Acidithiobacillus ferrooxidans	sample_57	4	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferrooxidans
Acidithiobacillus sp. SH	sample_57	5	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus sp. SH
Acidithiobacillus thiooxidans	sample_57	6	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
Acidobacteria bacterium	sample_57	7	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium
Acidobacteria bacterium 13_1_40CM_56_16	sample_57	2	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium 13_1_40CM_56_16
Acidobacteria bacterium 13_2_20CM_58_27	sample_57	9	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium 13_2_20CM_58_27
Acidobacteria bacterium Mor1	sample_57	6	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium Mor1
Acidobacteria bacterium OLB17	sample_57	6	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium OLB17
Acidobacteria bacterium RBG_13_68_16	sample_57	1	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium RBG_13_68_16
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_21	sample_57	3	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_21
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36	sample_57	1	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_65_11	sample_57	3	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium RIFCSPLOWO2_12_FULL_65_11
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21	sample_57	1	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_68_19	sample_57	1	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium RIFCSPLOWO2_12_FULL_68_19
