dummy	species	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_17	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_37	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_57	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_50	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_60	sample_1	sample_10	sample_15	sample_17	sample_20	sample_25	sample_30	sample_35	sample_37	sample_40	sample_5	sample_50	sample_55	sample_57	sample_60
TRUE	Alistipes finegoldii	158	290344	141118	5038161	4283	213	5191	704	314	38	122921	7325	316825	515090	431	29	522	55	16	8	61246	12319	2736	722	30653	3206	2	0	0	3	0	0	0	437	344	95	15	6	205	153
TRUE	Anaerotignum lactatifermentans	2255	5249	812	1623	24567	8610	1147	1913	686	169043	5584	5883	17910	92	2554	873	83	170	56	17424	1169	561	331641	590	1881	0	12	4	0	0	0	0	83	4	6	1	2001	2	0	10
TRUE	Bacteroides fragilis	483	54949	160997	1830	65638	138938	14441	1364139	650020	21181	183070	10961	273985	30	6649	15651	1523	138271	65738	1471	69586	18522	307840	1080	27439	0	29	66	0	7	721	373	17	55	405	142	1731	10	151	139
TRUE	Blautia pseudococcoides	2629	247406	2225	78076	959	144375	36732	1031109	2166761	101679	36804	904	103449	7756	61	14345	3637	102685	215022	10091	5326	3658	0	17	10231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Bosea sp. Root670	2617	0	2474	15487	6381	6	61212	6002	5045	1328600	13	1	5159	1551	638	1	6069	604	503	131805	0	0	2149	0	525	7	2	0	3	22	2	2	414	0	0	0	8	0	3	2
TRUE	Butyrivibrio fibrisolvens	326192	356937	60050	61651	112964	1256071	10980	20285	32286	490	41114	9912	55548	4416	11065	129687	684	1543	2735	13	193664	4009	330	881	5288	33	54	753	290	5	14	24	0	275	1371	38	2	8	55	38
TRUE	Butyrivibrio sp. ob235	52982	86669	7984	120628	50321	51503	34977	105077	1036890	45419	10805	17643	48525	5792	2360	2521	2072	10802	107249	4722	4431	510	1	1548	5057	0	0	0	0	3	45	485	17	51	11	0	0	9	5	17
TRUE	Coprococcus sp. HPP0048	453	244235	12	94	361	8458	12340	7201	1044436	39122	5548	160	112	11	5	980	1488	861	137989	5175	332	722	0	2	3	0	0	7	0	10	6	1079	31	316	3	8	0	0	0	0
TRUE	Faecalibacterium prausnitzii	311551	105672	56188	183662	13335	277159	262789	158935	37576	26151	71569	39036	48710	12339	1222	25899	17385	14774	3493	2461	11441	6608	1	3532	4503	217	8	217	369	263	128	33	17	132	103	81	0	49	68	38
TRUE	Hungatella hathewayi	1098	1592	30119	2248	6796	1241	8682	784	603	1419	7598607	10606988	5616	99	936	86	1089	42	43	69	88	853470	3	1190219	762	0	2	0	0	3	0	0	0	0	0	4246	0	6928	25	2
TRUE	Lachnospiraceae bacterium 2_1_46FAA	174604	160151	31	4647	42110	182149	271402	17380	77244	260	71014	2065	17063	441	4163	18140	27070	1728	7700	24	9	7059	0	204	1704	4	31	162	449	236	16	75	0	426	0	94	0	3	0	15
TRUE	Lachnospiraceae bacterium 28-4	138297	107108	6155	312	24809	256149	225552	92980	394240	41243	122493	5030	16071	7	2504	25851	22737	9410	39900	4195	11	12352	21	445	1612	0	10	121	186	104	45	204	17	150	0	86	0	3	8	8
