dummy	family	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_17	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_37	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_57	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_50	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_60	sample_1	sample_10	sample_15	sample_17	sample_20	sample_25	sample_30	sample_35	sample_37	sample_40	sample_5	sample_50	sample_55	sample_57	sample_60
TRUE		22014	27299	8603	19442	14210	24993	22575	14417	13733	13618	75750	55649	10609	443	228	1084	441	443	584	725	496	6727	1725	4705	449	0	0	0	0	0	0	0	0	4	0	28	0	0	0	0
TRUE	Acaryochloridaceae	10	4	4	5	0	7	2	0	2	1	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacteraceae	480	208	537	176	717	346	647	589	210	162	621	64	340	0	2	2	2	4	0	2	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetomicrobiaceae	2	4	2	5	1	5	3	5	14	5	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acholeplasmataceae	7	8	1	15	13	7	2	8	3	6	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidaminobacteraceae	24	6578	1653	26	9	29	15	24	9	1	16	9	18	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	3	0
TRUE	Acidaminococcaceae	902	1018	80	1933	541	1170	2062	592	518	427	405	412	223	488	53	154	241	47	49	49	77	41	633	47	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidiferrobacteraceae	8	6	12	1	52	13	49	23	8	2	8	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidilobaceae	0	3	1	4	19	6	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidimicrobiaceae	1	1	2	0	17	2	1	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidithiobacillaceae	38	27	18	46	24	25	24	18	15	5	25	3	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidobacteriaceae	50	50	15	19	196	35	103	77	49	32	40	37	30	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidothermaceae	0	1	0	0	4	1	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Actinomycetaceae	539	366	195	255	1762	354	477	653	246	209	229	135	208	19	24	9	3	7	11	13	12	1	7	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Actinopolysporaceae	15	20	11	26	103	27	23	38	9	3	8	2	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acutalibacteraceae	212	2346	932	18280	15543	3672	19658	96799	30404	185	1239	4385	14587	1803	1525	344	1926	9674	3036	6	478	84	0	391	1447	0	7	0	0	7	15	0	0	0	0	0	0	1	0	0
TRUE	Aerococcaceae	12395	197	1203	266	12472	15307	3122	115	74	691	70	1016	149	1	1205	1545	302	5	0	32	1	7	7	104	3	0	10	15	30	3	0	0	0	0	0	0	0	2	3	0
TRUE	Aeromonadaceae	263	131	72	105	464	148	295	209	86	70	346	248	71	0	1	0	0	0	1	6	1	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Afifellaceae	5	4	6	0	6	6	35	2	1	1	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Ahrensiaceae	65	16	64	2	25	53	31	47	5	0	133	0	27	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Akkermansiaceae	2886	25	13	6	182159	10	3619	5556	129921	3	12663	2272	9479	0	16372	0	335	489	11835	0	285	1126	0	207	865	0	120	0	3	3	4	113	0	0	3	15	0	3	0	8
TRUE	Alcaligenaceae	405	233	244	141	968	276	583	491	165	107	328	51	402	1	1	0	0	1	0	3	2	2	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alcanivoracaceae	59	24	22	31	96	27	99	41	14	5	51	8	30	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alicyclobacillaceae	47	31	16	15	50	22	165	82	19	6	61	52	22	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alsobacteraceae	11	2	6	0	35	7	5	19	3	4	9	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
