sample	DNA_isolation_method	sample_name	GS_name	sample_nr	db	Vregion	platform	workflow	method	project	bamfile	mapq.filt	sequencing_date	group	GS_version	rank	R2
I_V1_V2_illumina_dada2_EMUdb_1_D6300	I	I1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	phylum	1
I_V1_V2_illumina_dada2_EMUdb_2_D6300	I	I2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	phylum	1
I_V1_V2_illumina_dada2_EMUdb_3_D6300	I	I3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	phylum	1
MN_V1_V2_illumina_dada2_EMUdb_1_D6300	MN	MN1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	phylum	1
MN_V1_V2_illumina_dada2_EMUdb_3_D6300	MN	MN2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	phylum	1
MN_V1_V2_illumina_dada2_EMUdb_4_D6300	MN	MN3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	phylum	1
Q_V1_V2_illumina_dada2_EMUdb_1_D6300	Q	Q1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	3	D6300	phylum	1
Q_V1_V2_illumina_dada2_EMUdb_2_D6300	Q	Q2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	3	D6300	phylum	1
Q_V1_V2_illumina_dada2_EMUdb_4_D6300	Q	Q3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	3	D6300	phylum	1
Z_V1_V2_illumina_dada2_EMUdb_1_D6300	Z	Z1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	4	D6300	phylum	1
Z_V1_V2_illumina_dada2_EMUdb_2_D6300	Z	Z2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	4	D6300	phylum	1
Z_V1_V2_illumina_dada2_EMUdb_3_D6300	Z	Z3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	4	D6300	phylum	1
I_V1_V2_illumina_dada2_EMUdb_1_D6300	I	I1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	order	0.904767469992105
I_V1_V2_illumina_dada2_EMUdb_2_D6300	I	I2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	order	0.866845418904789
I_V1_V2_illumina_dada2_EMUdb_3_D6300	I	I3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	order	0.87110590491289
MN_V1_V2_illumina_dada2_EMUdb_1_D6300	MN	MN1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	order	0.00493101779956789
MN_V1_V2_illumina_dada2_EMUdb_3_D6300	MN	MN2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	order	0.0424745826777053
MN_V1_V2_illumina_dada2_EMUdb_4_D6300	MN	MN3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	order	0.0222670376211543
Q_V1_V2_illumina_dada2_EMUdb_1_D6300	Q	Q1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	3	D6300	order	0.0326753067052598
Q_V1_V2_illumina_dada2_EMUdb_2_D6300	Q	Q2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	3	D6300	order	0.157445725256702
Q_V1_V2_illumina_dada2_EMUdb_4_D6300	Q	Q3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	3	D6300	order	0.0461770116959261
Z_V1_V2_illumina_dada2_EMUdb_1_D6300	Z	Z1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	4	D6300	order	0.109544836895942
Z_V1_V2_illumina_dada2_EMUdb_2_D6300	Z	Z2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	4	D6300	order	0.0723681974566508
Z_V1_V2_illumina_dada2_EMUdb_3_D6300	Z	Z3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	4	D6300	order	0.0356941179207641
I_V1_V2_illumina_dada2_EMUdb_1_D6300	I	I1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	genus	0.24638355268612
I_V1_V2_illumina_dada2_EMUdb_2_D6300	I	I2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	genus	0.212195302660176
I_V1_V2_illumina_dada2_EMUdb_3_D6300	I	I3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	genus	0.252278339155836
MN_V1_V2_illumina_dada2_EMUdb_1_D6300	MN	MN1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	genus	0.0500290029434706
MN_V1_V2_illumina_dada2_EMUdb_3_D6300	MN	MN2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	genus	0.0146868137435709
MN_V1_V2_illumina_dada2_EMUdb_4_D6300	MN	MN3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	genus	0.0893182239492668
Q_V1_V2_illumina_dada2_EMUdb_1_D6300	Q	Q1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	3	D6300	genus	0.0481870057194654
Q_V1_V2_illumina_dada2_EMUdb_2_D6300	Q	Q2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	3	D6300	genus	0.156179367772042
Q_V1_V2_illumina_dada2_EMUdb_4_D6300	Q	Q3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	3	D6300	genus	0.0591952997424793
