DNA_isolation_method	platform	rank	R2_mean
I	Illumina	phylum	0.992579238301516
I	Illumina	order	0.986230303521697
I	Illumina	genus	0.946349732085913
I	Illumina	species	0.820872723702877
I	ONT	phylum	0.997020846144768
I	ONT	order	0.99067610892134
I	ONT	genus	0.971480010231977
I	ONT	species	0.971611020435761
MN	Illumina	phylum	0.224652156360068
MN	Illumina	order	0.396337174659178
MN	Illumina	genus	0.371292186896973
MN	Illumina	species	0.266329230624205
MN	ONT	phylum	0.21799756453851
MN	ONT	order	0.365400059902279
MN	ONT	genus	0.311492075469686
MN	ONT	species	0.311968512184621
Q	Illumina	phylum	0.076461150671067
Q	Illumina	order	0.260899455542153
Q	Illumina	genus	0.221292223926414
Q	Illumina	species	0.132853809837025
Q	ONT	phylum	0.0410572773283022
Q	ONT	order	0.224819281143963
Q	ONT	genus	0.210018803019517
Q	ONT	species	0.210338909471015
Z	Illumina	phylum	0.502043953196288
Z	Illumina	order	0.559273738030982
Z	Illumina	genus	0.507701923444484
Z	Illumina	species	0.403848135390006
Z	ONT	phylum	0.418189956672312
Z	ONT	order	0.502091219210793
Z	ONT	genus	0.392028039044519
Z	ONT	species	0.392373851772841
