Row.names	sample	project	sample_name	GS_name	sample_nr	db	Vregion	platform	workflow	method	bamfile	mapq.filt	Detection_threshold_ratio	Detection_threshold	statistic	value	Detection_threshold_percent	level
minitax_all_NCBI_genomes_RandAln_SRR13128014	SRR13128014	Portik_etal_2022	SRR13128014	NA	NA	all_NCBI_genomes	WGS	PacBio	minitax	RandAln	SRR13128014.bam	1:59	1e-04	194.8777	True_positives	15	0.01%	Species
minitax_all_NCBI_genomes_RandAln_SRR13128014	SRR13128014	Portik_etal_2022	SRR13128014	NA	NA	all_NCBI_genomes	WGS	PacBio	minitax	RandAln	SRR13128014.bam	1:59	0.001	1948.777	True_positives	12	0.1%	Species
minitax_all_NCBI_genomes_RandAln_SRR13128014	SRR13128014	Portik_etal_2022	SRR13128014	NA	NA	all_NCBI_genomes	WGS	PacBio	minitax	RandAln	SRR13128014.bam	1:59	0.01	19487.77	True_positives	8	1%	Species
SRR13128014_sourmash_kreport_NCBI	SRR13128014	Portik_etal_2022	SRR13128014	NA	NA	all_NCBI_genomes	WGS	PacBio	sourmash	kreport	NA	NA	1e-04	170.4384	True_positives	15	0.01%	Species
SRR13128014_sourmash_kreport_NCBI	SRR13128014	Portik_etal_2022	SRR13128014	NA	NA	all_NCBI_genomes	WGS	PacBio	sourmash	kreport	NA	NA	0.001	1704.384	True_positives	13	0.1%	Species
SRR13128014_sourmash_kreport_NCBI	SRR13128014	Portik_etal_2022	SRR13128014	NA	NA	all_NCBI_genomes	WGS	PacBio	sourmash	kreport	NA	NA	0.01	17043.84	True_positives	11	1%	Species
minitax_all_NCBI_genomes_RandAln_SRR13128014	SRR13128014	Portik_etal_2022	SRR13128014	NA	NA	all_NCBI_genomes	WGS	PacBio	minitax	RandAln	SRR13128014.bam	1:59	1e-04	194.8777	False_positives	145	0.01%	Species
minitax_all_NCBI_genomes_RandAln_SRR13128014	SRR13128014	Portik_etal_2022	SRR13128014	NA	NA	all_NCBI_genomes	WGS	PacBio	minitax	RandAln	SRR13128014.bam	1:59	0.001	1948.777	False_positives	31	0.1%	Species
minitax_all_NCBI_genomes_RandAln_SRR13128014	SRR13128014	Portik_etal_2022	SRR13128014	NA	NA	all_NCBI_genomes	WGS	PacBio	minitax	RandAln	SRR13128014.bam	1:59	0.01	19487.77	False_positives	11	1%	Species
SRR13128014_sourmash_kreport_NCBI	SRR13128014	Portik_etal_2022	SRR13128014	NA	NA	all_NCBI_genomes	WGS	PacBio	sourmash	kreport	NA	NA	1e-04	170.4384	False_positives	0	0.01%	Species
SRR13128014_sourmash_kreport_NCBI	SRR13128014	Portik_etal_2022	SRR13128014	NA	NA	all_NCBI_genomes	WGS	PacBio	sourmash	kreport	NA	NA	0.001	1704.384	False_positives	0	0.1%	Species
SRR13128014_sourmash_kreport_NCBI	SRR13128014	Portik_etal_2022	SRR13128014	NA	NA	all_NCBI_genomes	WGS	PacBio	sourmash	kreport	NA	NA	0.01	17043.84	False_positives	0	1%	Species
minitax_all_NCBI_genomes_RandAln_SRR13128014	SRR13128014	Portik_etal_2022	SRR13128014	NA	NA	all_NCBI_genomes	WGS	PacBio	minitax	RandAln	SRR13128014.bam	1:59	1e-04	194.8777	False_negatives	2	0.01%	Species
minitax_all_NCBI_genomes_RandAln_SRR13128014	SRR13128014	Portik_etal_2022	SRR13128014	NA	NA	all_NCBI_genomes	WGS	PacBio	minitax	RandAln	SRR13128014.bam	1:59	0.001	1948.777	False_negatives	5	0.1%	Species
minitax_all_NCBI_genomes_RandAln_SRR13128014	SRR13128014	Portik_etal_2022	SRR13128014	NA	NA	all_NCBI_genomes	WGS	PacBio	minitax	RandAln	SRR13128014.bam	1:59	0.01	19487.77	False_negatives	9	1%	Species
SRR13128014_sourmash_kreport_NCBI	SRR13128014	Portik_etal_2022	SRR13128014	NA	NA	all_NCBI_genomes	WGS	PacBio	sourmash	kreport	NA	NA	1e-04	170.4384	False_negatives	2	0.01%	Species
SRR13128014_sourmash_kreport_NCBI	SRR13128014	Portik_etal_2022	SRR13128014	NA	NA	all_NCBI_genomes	WGS	PacBio	sourmash	kreport	NA	NA	0.001	1704.384	False_negatives	4	0.1%	Species
SRR13128014_sourmash_kreport_NCBI	SRR13128014	Portik_etal_2022	SRR13128014	NA	NA	all_NCBI_genomes	WGS	PacBio	sourmash	kreport	NA	NA	0.01	17043.84	False_negatives	6	1%	Species
